Local time,Open,High,Low,Close,Volume
27.07.2012 00:00:00.000 GMT+0300,1.22818,1.23899,1.22416,1.23182,269110810546.8753
30.07.2012 00:00:00.000 GMT+0300,1.22946,1.23102,1.22246,1.22600,205976900390.625
31.07.2012 00:00:00.000 GMT+0300,1.22600,1.23291,1.22480,1.23024,198754719726.56274
01.08.2012 00:00:00.000 GMT+0300,1.23033,1.23362,1.22180,1.22242,159963659912.1094
02.08.2012 00:00:00.000 GMT+0300,1.22243,1.23888,1.21339,1.21794,227257298706.05493
03.08.2012 00:00:00.000 GMT+0300,1.21794,1.23919,1.21664,1.23852,224536942626.9533
06.08.2012 00:00:00.000 GMT+0300,1.23925,1.24429,1.23413,1.23993,196003430175.78162
07.08.2012 00:00:00.000 GMT+0300,1.23997,1.24417,1.23757,1.23980,187869810546.8753
08.08.2012 00:00:00.000 GMT+0300,1.23980,1.24020,1.23267,1.23646,187339661010.74252
09.08.2012 00:00:00.000 GMT+0300,1.23642,1.23866,1.22668,1.23053,189553909667.96912
10.08.2012 00:00:00.000 GMT+0300,1.23053,1.23162,1.22412,1.22894,176227479248.04724
13.08.2012 00:00:00.000 GMT+0300,1.22894,1.23732,1.22600,1.23313,164324930908.2033
14.08.2012 00:00:00.000 GMT+0300,1.23312,1.23851,1.23165,1.23210,170294349365.2347
15.08.2012 00:00:00.000 GMT+0300,1.23210,1.23432,1.22635,1.22895,140416490112.3049
16.08.2012 00:00:00.000 GMT+0300,1.22896,1.23720,1.22560,1.23550,163780891113.28152
17.08.2012 00:00:00.000 GMT+0300,1.23548,1.23818,1.22894,1.23308,154463190917.96912
20.08.2012 00:00:00.000 GMT+0300,1.23480,1.23685,1.22948,1.23453,153175185913.08612
21.08.2012 00:00:00.000 GMT+0300,1.23450,1.24872,1.23417,1.24718,188959299072.2658
22.08.2012 00:00:00.000 GMT+0300,1.24710,1.25379,1.24310,1.25285,181630549072.26593
23.08.2012 00:00:00.000 GMT+0300,1.25286,1.25885,1.25233,1.25629,195659041259.7657
24.08.2012 00:00:00.000 GMT+0300,1.25624,1.25678,1.24843,1.25107,169268770751.9533
27.08.2012 00:00:00.000 GMT+0300,1.25096,1.25351,1.24898,1.24985,116628388793.94559
28.08.2012 00:00:00.000 GMT+0300,1.24985,1.25759,1.24650,1.25642,168121739501.95343
29.08.2012 00:00:00.000 GMT+0300,1.25642,1.25729,1.25183,1.25298,153641130371.09402
30.08.2012 00:00:00.000 GMT+0300,1.25296,1.25635,1.24880,1.25060,155437779785.1568
31.08.2012 00:00:00.000 GMT+0300,1.25058,1.26372,1.24933,1.25738,194412510253.9063
01.09.2012 00:00:00.000 GMT+0300,1.25738,1.25758,1.25738,1.25758,0
03.09.2012 00:00:00.000 GMT+0300,1.25666,1.26091,1.25599,1.25919,118222239807.12898
04.09.2012 00:00:00.000 GMT+0300,1.25919,1.26275,1.25553,1.25651,164519999755.85983
05.09.2012 00:00:00.000 GMT+0300,1.25651,1.26240,1.25015,1.25996,192660249877.9299
06.09.2012 00:00:00.000 GMT+0300,1.25994,1.26469,1.25611,1.26301,198613998901.3674
07.09.2012 00:00:00.000 GMT+0300,1.26302,1.28171,1.26263,1.28152,186653753173.82855
10.09.2012 00:00:00.000 GMT+0300,1.28067,1.28107,1.27553,1.27575,157832308898.926
11.09.2012 00:00:00.000 GMT+0300,1.27576,1.28707,1.27546,1.28543,181705281127.92993
12.09.2012 00:00:00.000 GMT+0300,1.28544,1.29361,1.28399,1.28989,197555110839.84424
13.09.2012 00:00:00.000 GMT+0300,1.28990,1.30014,1.28742,1.29884,187088810668.9457
14.09.2012 00:00:00.000 GMT+0300,1.29882,1.31670,1.29797,1.31299,210794330932.6173
17.09.2012 00:00:00.000 GMT+0300,1.31175,1.31694,1.30834,1.31167,174458670410.15662
18.09.2012 00:00:00.000 GMT+0300,1.31164,1.31194,1.30290,1.30474,180862771118.16443
19.09.2012 00:00:00.000 GMT+0300,1.30467,1.30846,1.29930,1.30482,180289142211.9142
20.09.2012 00:00:00.000 GMT+0300,1.30480,1.30587,1.29210,1.29683,193427050537.10962
21.09.2012 00:00:00.000 GMT+0300,1.29685,1.30476,1.29550,1.29792,190536378906.25034
24.09.2012 00:00:00.000 GMT+0300,1.29749,1.29878,1.28904,1.29301,142982439331.0547
25.09.2012 00:00:00.000 GMT+0300,1.29300,1.29706,1.28871,1.28995,162971750488.28122
26.09.2012 00:00:00.000 GMT+0300,1.28992,1.29126,1.28350,1.28728,151684729614.25812
27.09.2012 00:00:00.000 GMT+0300,1.28728,1.29282,1.28307,1.29132,162221040527.344
28.09.2012 00:00:00.000 GMT+0300,1.29130,1.29596,1.28387,1.28591,193873180908.20343
01.10.2012 00:00:00.000 GMT+0300,1.28444,1.29381,1.28038,1.28877,185847819946.2892
02.10.2012 00:00:00.000 GMT+0300,1.28877,1.29676,1.28799,1.29191,165811320129.3947
03.10.2012 00:00:00.000 GMT+0300,1.29189,1.29367,1.28772,1.29049,169707339843.75034
04.10.2012 00:00:00.000 GMT+0300,1.29050,1.30312,1.29008,1.30174,186845791625.9768
05.10.2012 00:00:00.000 GMT+0300,1.30174,1.30714,1.29938,1.30344,170021761230.4689
08.10.2012 00:00:00.000 GMT+0300,1.30227,1.30256,1.29371,1.29675,135188699584.96109
09.10.2012 00:00:00.000 GMT+0300,1.29675,1.29906,1.28592,1.28850,183446649047.8518
10.10.2012 00:00:00.000 GMT+0300,1.28850,1.29127,1.28352,1.28748,174239631225.58624
11.10.2012 00:00:00.000 GMT+0300,1.28748,1.29511,1.28258,1.29269,169749499267.5785
12.10.2012 00:00:00.000 GMT+0300,1.29267,1.29906,1.29219,1.29522,157271850097.65652
15.10.2012 00:00:00.000 GMT+0300,1.29527,1.29786,1.28905,1.29484,157962570129.3946
16.10.2012 00:00:00.000 GMT+0300,1.29482,1.30606,1.29420,1.30531,175361681030.27383
17.10.2012 00:00:00.000 GMT+0300,1.30532,1.31386,1.30525,1.31185,183919331054.6877
18.10.2012 00:00:00.000 GMT+0300,1.31192,1.31285,1.30550,1.30663,169244739746.09412
19.10.2012 00:00:00.000 GMT+0300,1.30662,1.30767,1.30129,1.30188,145949430053.7113
22.10.2012 00:00:00.000 GMT+0300,1.30189,1.30830,1.30152,1.30594,141465779998.77927
