Date,Close*,Adj Close**,Volume,
"Aug 01, 2016","2,170.84","2,170.84","3,505,990,000","1,596.00"
"Jul 29, 2016","2,173.60","2,173.60","4,038,840,000","1,597.00"
"Jul 28, 2016","2,170.06","2,170.06","3,664,240,000","1,598.00"
"Jul 27, 2016","2,166.58","2,166.58","3,995,500,000","1,599.00"
"Jul 26, 2016","2,169.18","2,169.18","3,442,350,000","1,600.00"
"Jul 25, 2016","2,168.48","2,168.48","3,057,240,000","1,601.00"
"Jul 22, 2016","2,175.03","2,175.03","3,023,280,000","1,602.00"
"Jul 21, 2016","2,165.17","2,165.17","3,438,900,000","1,603.00"
"Jul 20, 2016","2,173.02","2,173.02","3,211,860,000","1,604.00"
"Jul 19, 2016","2,163.78","2,163.78","2,968,340,000","1,605.00"
"Jul 18, 2016","2,166.89","2,166.89","3,009,310,000","1,606.00"
"Jul 15, 2016","2,161.74","2,161.74","3,122,600,000","1,607.00"
"Jul 14, 2016","2,163.75","2,163.75","3,465,610,000","1,608.00"
"Jul 13, 2016","2,152.43","2,152.43","3,502,320,000","1,609.00"
"Jul 12, 2016","2,152.14","2,152.14","4,097,820,000","1,610.00"
"Jul 11, 2016","2,137.16","2,137.16","3,253,340,000","1,611.00"
"Jul 08, 2016","2,129.90","2,129.90","3,607,500,000","1,612.00"
"Jul 07, 2016","2,097.90","2,097.90","3,604,550,000","1,613.00"
"Jul 06, 2016","2,099.73","2,099.73","3,909,380,000","1,614.00"
"Jul 05, 2016","2,088.55","2,088.55","3,658,380,000","1,615.00"
"Jul 01, 2016","2,102.95","2,102.95","3,458,890,000","1,616.00"
"Jun 30, 2016","2,098.86","2,098.86","4,622,820,000","1,617.00"
"Jun 29, 2016","2,070.77","2,070.77","4,241,740,000","1,618.00"
"Jun 28, 2016","2,036.09","2,036.09","4,385,810,000","1,619.00"
"Jun 27, 2016","2,000.54","2,000.54","5,431,220,000","1,620.00"
"Jun 24, 2016","2,037.41","2,037.41","7,597,450,000","1,621.00"
"Jun 23, 2016","2,113.32","2,113.32","3,297,940,000","1,622.00"
"Jun 22, 2016","2,085.45","2,085.45","3,168,160,000","1,623.00"
"Jun 21, 2016","2,088.90","2,088.90","3,232,880,000","1,624.00"
"Jun 20, 2016","2,083.25","2,083.25","3,467,440,000","1,625.00"
"Jun 17, 2016","2,071.22","2,071.22","4,952,630,000","1,626.00"
"Jun 16, 2016","2,077.99","2,077.99","3,628,280,000","1,627.00"
"Jun 15, 2016","2,071.50","2,071.50","3,544,720,000","1,628.00"
"Jun 14, 2016","2,075.32","2,075.32","3,759,770,000","1,629.00"
"Jun 13, 2016","2,079.06","2,079.06","3,392,030,000","1,630.00"
"Jun 10, 2016","2,096.07","2,096.07","3,515,010,000","1,631.00"
"Jun 09, 2016","2,115.48","2,115.48","3,290,320,000","1,632.00"
"Jun 08, 2016","2,119.12","2,119.12","3,562,060,000","1,633.00"
