Local time,Open_eurusd,High_eurusd,Low_eurusd,Close_eurusd,Volume_eurusd,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
22.04.2014 00:00:00.000 GMT+0300,1.37927,1.38248,1.3785,1.38048,99374448730,0.7,1.8,2.46,1.46,0.1,1879.55,9600.089844
23.04.2014 00:00:00.000 GMT+0300,1.38047,1.38546,1.38003,1.38166,1.31E+11,0.7,1.8,2.46,1.46,0.1,1875.39,9544.19043
24.04.2014 00:00:00.000 GMT+0300,1.38169,1.38429,1.37914,1.38313,1.27E+11,0.7,1.8,2.46,1.46,0.1,1878.61,9548.679688
25.04.2014 00:00:00.000 GMT+0300,1.38313,1.38482,1.38267,1.38329,98830140381,0.7,1.8,2.46,1.46,0.09,1863.4,9401.549805
26.04.2014 00:00:00.000 GMT+0300,1.38329,1.38329,1.38329,1.38329,0,0.7,1.8,2.46,1.46,0.09,1863.4,9401.549805
27.04.2014 00:00:00.000 GMT+0300,1.38329,1.38329,1.38329,1.38329,0,0.7,1.8,2.46,1.46,0.09,1863.4,9401.549805
28.04.2014 00:00:00.000 GMT+0300,1.38447,1.38794,1.38147,1.3851,1.30E+11,0.7,1.8,2.46,1.46,0.09,1869.43,9446.360352
29.04.2014 00:00:00.000 GMT+0300,1.3851,1.38791,1.38055,1.38117,1.55E+11,0.7,1.8,2.46,1.46,0.1,1878.33,9584.120117
30.04.2014 00:00:00.000 GMT+0300,1.38121,1.38765,1.3775,1.38669,1.95E+11,0.7,1.8,2.46,1.46,0.09,1883.95,9603.230469
01.05.2014 00:00:00.000 GMT+0300,1.38656,1.38892,1.38628,1.3869,1.05E+11,0.5,2,2.32,1.33,0.09,1883.68,9603.230469
02.05.2014 00:00:00.000 GMT+0300,1.38691,1.38813,1.38122,1.38706,1.72E+11,0.5,2,2.32,1.33,0.09,1881.14,9556.019531
03.05.2014 00:00:00.000 GMT+0300,1.38706,1.38706,1.38706,1.38706,0,0.5,2,2.32,1.33,0.09,1881.14,9556.019531
04.05.2014 00:00:00.000 GMT+0300,1.38706,1.38706,1.38706,1.38706,0,0.5,2,2.32,1.33,0.09,1881.14,9556.019531
05.05.2014 00:00:00.000 GMT+0300,1.38818,1.3886,1.38645,1.3875,1.26E+11,0.5,2,2.32,1.33,0.09,1884.66,9529.5
06.05.2014 00:00:00.000 GMT+0300,1.38747,1.39512,1.38721,1.39272,1.43E+11,0.5,2,2.32,1.33,0.09,1867.72,9467.530273
07.05.2014 00:00:00.000 GMT+0300,1.39271,1.39385,1.391,1.391,1.73E+11,0.5,2,2.32,1.33,0.08,1878.21,9521.299805
08.05.2014 00:00:00.000 GMT+0300,1.391,1.39933,1.38331,1.38396,2.17E+11,0.5,2,2.32,1.33,0.08,1875.63,9607.400391
09.05.2014 00:00:00.000 GMT+0300,1.38395,1.38444,1.37451,1.37553,2.01E+11,0.5,2,2.32,1.33,0.08,1878.48,9581.450195
10.05.2014 00:00:00.000 GMT+0300,1.37553,1.37553,1.37553,1.37553,0,0.5,2,2.32,1.33,0.08,1878.48,9581.450195
11.05.2014 00:00:00.000 GMT+0300,1.37553,1.37553,1.37553,1.37553,0,0.5,2,2.32,1.33,0.08,1878.48,9581.450195
12.05.2014 00:00:00.000 GMT+0300,1.37526,1.37748,1.37494,1.37571,1.25E+11,0.5,2,2.32,1.33,0.08,1896.65,9702.459961
13.05.2014 00:00:00.000 GMT+0300,1.37573,1.37714,1.36891,1.37033,1.99E+11,0.5,2,2.32,1.33,0.09,1897.45,9754.429688
14.05.2014 00:00:00.000 GMT+0300,1.37029,1.37308,1.36979,1.37144,1.70E+11,0.5,2,2.32,1.33,0.08,1888.53,9754.389648
15.05.2014 00:00:00.000 GMT+0300,1.37144,1.37322,1.36484,1.37092,2.01E+11,0.5,2,2.32,1.33,0.09,1870.85,9656.049805
16.05.2014 00:00:00.000 GMT+0300,1.3709,1.37268,1.36853,1.36926,1.41E+11,0.5,2,2.32,1.33,0.09,1877.86,9629.099609
17.05.2014 00:00:00.000 GMT+0300,1.36926,1.36926,1.36926,1.36926,0,0.5,2,2.32,1.33,0.09,1877.86,9629.099609
18.05.2014 00:00:00.000 GMT+0300,1.36926,1.36926,1.36926,1.36926,0,0.5,2,2.32,1.33,0.09,1877.86,9629.099609
19.05.2014 00:00:00.000 GMT+0300,1.36927,1.37341,1.36926,1.37089,1.52E+11,0.5,2,2.32,1.33,0.09,1885.08,9659.389648
20.05.2014 00:00:00.000 GMT+0300,1.37085,1.37138,1.3678,1.37011,1.58E+11,0.5,2,2.32,1.33,0.09,1872.83,9639.080078
21.05.2014 00:00:00.000 GMT+0300,1.37009,1.37231,1.36345,1.36862,1.63E+11,0.5,2,2.32,1.33,0.09,1888.03,9697.870117
22.05.2014 00:00:00.000 GMT+0300,1.36862,1.36877,1.36452,1.36556,1.62E+11,0.5,2,2.32,1.33,0.09,1892.49,9720.910156
23.05.2014 00:00:00.000 GMT+0300,1.36555,1.36584,1.36156,1.36275,1.58E+11,0.5,2,2.32,1.33,0.09,1900.53,9768.009766
24.05.2014 00:00:00.000 GMT+0300,1.36275,1.36275,1.36275,1.36275,0,0.5,2,2.32,1.33,0.09,1900.53,9768.009766
25.05.2014 00:00:00.000 GMT+0300,1.36275,1.36275,1.36275,1.36275,0,0.5,2,2.32,1.33,0.09,1900.53,9768.009766
26.05.2014 00:00:00.000 GMT+0300,1.36233,1.36544,1.36145,1.36455,86437719910,0.5,2,2.32,1.33,0.09,1900.53,9892.820313
27.05.2014 00:00:00.000 GMT+0300,1.36455,1.36685,1.36125,1.36342,1.52E+11,0.5,2,2.32,1.33,0.09,1911.91,9940.820313
28.05.2014 00:00:00.000 GMT+0300,1.36342,1.36378,1.35885,1.35905,1.58E+11,0.5,2,2.32,1.33,0.09,1909.78,9939.169922
29.05.2014 00:00:00.000 GMT+0300,1.35902,1.36255,1.35862,1.36015,1.55E+11,0.5,2,2.32,1.33,0.09,1920.03,9938.900391
30.05.2014 00:00:00.000 GMT+0300,1.36014,1.365,1.35984,1.36331,1.64E+11,0.5,2,2.32,1.33,0.08,1923.57,9943.269531
31.05.2014 00:00:00.000 GMT+0300,1.36331,1.36331,1.36331,1.36331,0,0.5,2,2.32,1.33,0.08,1923.57,9943.269531
01.06.2014 00:00:00.000 GMT+0300,1.36331,1.36331,1.36331,1.36331,0,0.5,1.9,2.2,1.26,0.08,1923.57,9943.269531
02.06.2014 00:00:00.000 GMT+0300,1.36359,1.36373,1.35881,1.35965,1.67E+11,0.5,1.9,2.2,1.26,0.09,1924.97,9950.120117
03.06.2014 00:00:00.000 GMT+0300,1.35965,1.36478,1.35875,1.36276,1.63E+11,0.5,1.9,2.2,1.26,0.1,1924.24,9919.740234
04.06.2014 00:00:00.000 GMT+0300,1.36274,1.36387,1.35965,1.35985,1.73E+11,0.5,1.9,2.2,1.26,0.09,1927.88,9926.669922
05.06.2014 00:00:00.000 GMT+0300,1.35984,1.36698,1.3503,1.36603,2.64E+11,0.5,1.9,2.2,1.26,0.09,1940.46,9947.830078
06.06.2014 00:00:00.000 GMT+0300,1.36603,1.36765,1.3621,1.36418,1.82E+11,0.5,1.9,2.2,1.26,0.09,1949.44,9987.19043
07.06.2014 00:00:00.000 GMT+0300,1.36418,1.36418,1.36418,1.36418,0,0.5,1.9,2.2,1.26,0.09,1949.44,9987.19043
08.06.2014 00:00:00.000 GMT+0300,1.36418,1.36418,1.36418,1.36418,0,0.5,1.9,2.2,1.26,0.09,1949.44,9987.19043
09.06.2014 00:00:00.000 GMT+0300,1.36432,1.36687,1.35826,1.35936,1.41E+11,0.5,1.9,2.2,1.26,0.09,1951.27,10008.62988
10.06.2014 00:00:00.000 GMT+0300,1.35934,1.36018,1.35335,1.35472,2.26E+11,0.5,1.9,2.2,1.26,0.09,1950.79,10028.79981
11.06.2014 00:00:00.000 GMT+0300,1.35467,1.35571,1.35215,1.35312,2.03E+11,0.5,1.9,2.2,1.26,0.09,1943.89,9949.80957
12.06.2014 00:00:00.000 GMT+0300,1.3531,1.35719,1.35123,1.35521,1.98E+11,0.5,1.9,2.2,1.26,0.09,1930.11,9938.700195
13.06.2014 00:00:00.000 GMT+0300,1.35521,1.3579,1.3521,1.35354,2.05E+11,0.5,1.9,2.2,1.26,0.1,1936.16,9912.870117
14.06.2014 00:00:00.000 GMT+0300,1.35354,1.35354,1.35354,1.35354,0,0.5,1.9,2.2,1.26,0.1,1936.16,9912.870117
15.06.2014 00:00:00.000 GMT+0300,1.35354,1.35354,1.35354,1.35354,0,0.5,1.9,2.2,1.26,0.1,1936.16,9912.870117
16.06.2014 00:00:00.000 GMT+0300,1.35406,1.35794,1.3513,1.35734,1.82E+11,0.5,1.9,2.2,1.26,0.1,1937.78,9883.980469
17.06.2014 00:00:00.000 GMT+0300,1.35733,1.3587,1.35364,1.35471,2.02E+11,0.5,1.9,2.2,1.26,0.1,1941.99,9920.320313
18.06.2014 00:00:00.000 GMT+0300,1.35467,1.35993,1.35417,1.35953,1.89E+11,0.5,1.9,2.2,1.26,0.1,1956.98,9930.330078
19.06.2014 00:00:00.000 GMT+0300,1.35953,1.36434,1.35841,1.36066,2.17E+11,0.5,1.9,2.2,1.26,0.1,1959.48,10004
20.06.2014 00:00:00.000 GMT+0300,1.36066,1.36339,1.35643,1.35992,2.18E+11,0.5,1.9,2.2,1.26,0.1,1962.87,9987.240234
21.06.2014 00:00:00.000 GMT+0300,1.35992,1.35992,1.35992,1.35992,0,0.5,1.9,2.2,1.26,0.1,1962.87,9987.240234
22.06.2014 00:00:00.000 GMT+0300,1.35992,1.35992,1.35992,1.35992,0,0.5,1.9,2.2,1.26,0.1,1962.87,9987.240234
23.06.2014 00:00:00.000 GMT+0300,1.35888,1.36135,1.35741,1.36041,2.82E+11,0.5,1.9,2.2,1.26,0.1,1962.61,9920.919922
24.06.2014 00:00:00.000 GMT+0300,1.36043,1.36277,1.35834,1.36058,2.60E+11,0.5,1.9,2.2,1.26,0.1,1949.98,9938.080078
25.06.2014 00:00:00.000 GMT+0300,1.36053,1.36511,1.36005,1.36289,2.70E+11,0.5,1.9,2.2,1.26,0.1,1959.53,9867.75
26.06.2014 00:00:00.000 GMT+0300,1.36289,1.36413,1.35762,1.36113,3.02E+11,0.5,1.9,2.2,1.26,0.1,1957.22,9804.900391
27.06.2014 00:00:00.000 GMT+0300,1.36109,1.36505,1.36093,1.36482,2.64E+11,0.5,1.9,2.2,1.26,0.1,1960.96,9815.169922
28.06.2014 00:00:00.000 GMT+0300,1.36482,1.36482,1.36482,1.36482,0,0.5,1.9,2.2,1.26,0.1,1960.96,9815.169922
29.06.2014 00:00:00.000 GMT+0300,1.36482,1.36482,1.36482,1.36482,0,0.5,1.9,2.2,1.26,0.1,1960.96,9815.169922
30.06.2014 00:00:00.000 GMT+0300,1.36435,1.36977,1.36402,1.3692,2.22E+11,0.5,1.9,2.2,1.26,0.09,1960.23,9833.070313
01.07.2014 00:00:00.000 GMT+0300,1.3692,1.37004,1.36755,1.36786,3.01E+11,0.4,1.9,2.08,1.11,0.1,1973.32,9902.410156
02.07.2014 00:00:00.000 GMT+0300,1.36786,1.36824,1.364,1.36592,2.81E+11,0.4,1.9,2.08,1.11,0.1,1974.62,9911.269531
03.07.2014 00:00:00.000 GMT+0300,1.3659,1.36642,1.3596,1.36097,3.64E+11,0.4,1.9,2.08,1.11,0.09,1985.44,10029.42969
04.07.2014 00:00:00.000 GMT+0300,1.361,1.36112,1.35855,1.35944,2.14E+11,0.4,1.9,2.08,1.11,0.09,1985.44,10009.08008
05.07.2014 00:00:00.000 GMT+0300,1.35944,1.35944,1.35944,1.35944,0,0.4,1.9,2.08,1.11,0.09,1985.44,10009.08008
06.07.2014 00:00:00.000 GMT+0300,1.35944,1.35944,1.35944,1.35944,0,0.4,1.9,2.08,1.11,0.09,1985.44,10009.08008
07.07.2014 00:00:00.000 GMT+0300,1.35945,1.36091,1.35759,1.36042,2.98E+11,0.4,1.9,2.08,1.11,0.1,1977.65,9906.070313
08.07.2014 00:00:00.000 GMT+0300,1.36043,1.36173,1.35882,1.36118,3.83E+11,0.4,1.9,2.08,1.11,0.09,1963.71,9772.669922
09.07.2014 00:00:00.000 GMT+0300,1.36117,1.36483,1.36022,1.36412,3.07E+11,0.4,1.9,2.08,1.11,0.09,1972.83,9808.200195
10.07.2014 00:00:00.000 GMT+0300,1.36412,1.36507,1.35891,1.36083,3.71E+11,0.4,1.9,2.08,1.11,0.09,1964.68,9659.129883
11.07.2014 00:00:00.000 GMT+0300,1.36083,1.36247,1.35919,1.36054,1.24E+11,0.4,1.9,2.08,1.11,0.09,1967.57,9666.339844
12.07.2014 00:00:00.000 GMT+0300,1.36054,1.36054,1.36054,1.36054,0,0.4,1.9,2.08,1.11,0.09,1967.57,9666.339844
13.07.2014 00:00:00.000 GMT+0300,1.36054,1.36054,1.36054,1.36054,0,0.4,1.9,2.08,1.11,0.09,1967.57,9666.339844
14.07.2014 00:00:00.000 GMT+0300,1.35989,1.36402,1.35974,1.36186,1.13E+11,0.4,1.9,2.08,1.11,0.09,1977.1,9783.009766
15.07.2014 00:00:00.000 GMT+0300,1.36186,1.36281,1.3562,1.35675,1.54E+11,0.4,1.9,2.08,1.11,0.09,1973.28,9719.410156
16.07.2014 00:00:00.000 GMT+0300,1.3567,1.35723,1.3521,1.35249,1.19E+11,0.4,1.9,2.08,1.11,0.09,1981.57,9859.269531
17.07.2014 00:00:00.000 GMT+0300,1.35246,1.35401,1.35165,1.35263,1.35E+11,0.4,1.9,2.08,1.11,0.09,1958.12,9753.879883
18.07.2014 00:00:00.000 GMT+0300,1.35259,1.3536,1.3491,1.35231,1.37E+11,0.4,1.9,2.08,1.11,0.09,1978.22,9720.019531
19.07.2014 00:00:00.000 GMT+0300,1.35231,1.35231,1.35231,1.35231,0,0.4,1.9,2.08,1.11,0.09,1978.22,9720.019531
20.07.2014 00:00:00.000 GMT+0300,1.35231,1.35231,1.35231,1.35231,0,0.4,1.9,2.08,1.11,0.09,1978.22,9720.019531
21.07.2014 00:00:00.000 GMT+0300,1.35283,1.3549,1.3513,1.35235,1.03E+11,0.4,1.9,2.08,1.11,0.1,1973.63,9612.049805
22.07.2014 00:00:00.000 GMT+0300,1.35235,1.35296,1.3459,1.34656,1.31E+11,0.4,1.9,2.08,1.11,0.09,1983.53,9734.330078
23.07.2014 00:00:00.000 GMT+0300,1.34656,1.34741,1.3455,1.3463,1.02E+11,0.4,1.9,2.08,1.11,0.09,1987.01,9753.55957
24.07.2014 00:00:00.000 GMT+0300,1.34631,1.34849,1.34382,1.34634,1.16E+11,0.4,1.9,2.08,1.11,0.09,1987.98,9794.05957
25.07.2014 00:00:00.000 GMT+0300,1.34632,1.34756,1.34214,1.34285,1.10E+11,0.4,1.9,2.08,1.11,0.09,1978.34,9644.009766
26.07.2014 00:00:00.000 GMT+0300,1.34285,1.34285,1.34285,1.34285,0,0.4,1.9,2.08,1.11,0.09,1978.34,9644.009766
27.07.2014 00:00:00.000 GMT+0300,1.34285,1.34285,1.34285,1.34285,0,0.4,1.9,2.08,1.11,0.09,1978.34,9644.009766
28.07.2014 00:00:00.000 GMT+0300,1.34305,1.34438,1.34269,1.34394,88093930237,0.4,1.9,2.08,1.11,0.09,1978.91,9598.169922
29.07.2014 00:00:00.000 GMT+0300,1.34395,1.34445,1.34042,1.34085,1.12E+11,0.4,1.9,2.08,1.11,0.09,1969.95,9653.629883
30.07.2014 00:00:00.000 GMT+0300,1.34085,1.34154,1.33669,1.33968,1.45E+11,0.4,1.9,2.08,1.11,0.09,1970.07,9593.679688
31.07.2014 00:00:00.000 GMT+0300,1.33962,1.34006,1.33716,1.33901,1.30E+11,0.4,1.9,2.08,1.11,0.08,1930.67,9407.480469
01.08.2014 00:00:00.000 GMT+0300,1.33901,1.34447,1.33785,1.34262,1.44E+11,0.4,1.7,1.92,0.95,0.09,1925.15,9210.080078
02.08.2014 00:00:00.000 GMT+0300,1.34262,1.34262,1.34262,1.34262,0,0.4,1.7,1.92,0.95,0.09,1925.15,9210.080078
03.08.2014 00:00:00.000 GMT+0300,1.34262,1.34262,1.34262,1.34262,0,0.4,1.7,1.92,0.95,0.09,1925.15,9210.080078
04.08.2014 00:00:00.000 GMT+0300,1.343,1.34329,1.34094,1.34217,95938770203,0.4,1.7,1.92,0.95,0.09,1938.99,9154.139648
05.08.2014 00:00:00.000 GMT+0300,1.34214,1.34248,1.33582,1.33758,1.19E+11,0.4,1.7,1.92,0.95,0.09,1920.21,9189.740234
06.08.2014 00:00:00.000 GMT+0300,1.33758,1.33868,1.3333,1.33824,1.55E+11,0.4,1.7,1.92,0.95,0.09,1920.24,9130.040039
07.08.2014 00:00:00.000 GMT+0300,1.33823,1.33936,1.33371,1.33632,1.46E+11,0.4,1.7,1.92,0.95,0.09,1909.57,9038.969727
08.08.2014 00:00:00.000 GMT+0300,1.33628,1.34324,1.33435,1.34085,1.68E+11,0.4,1.7,1.92,0.95,0.09,1931.59,9009.320313
09.08.2014 00:00:00.000 GMT+0300,1.34085,1.34085,1.34085,1.34085,0,0.4,1.7,1.92,0.95,0.09,1931.59,9009.320313
10.08.2014 00:00:00.000 GMT+0300,1.34085,1.34085,1.34085,1.34085,0,0.4,1.7,1.92,0.95,0.09,1931.59,9009.320313
11.08.2014 00:00:00.000 GMT+0300,1.34077,1.34113,1.33803,1.3385,93836779175,0.4,1.7,1.92,0.95,0.09,1936.92,9180.740234
12.08.2014 00:00:00.000 GMT+0300,1.3385,1.3386,1.3336,1.3369,1.14E+11,0.4,1.7,1.92,0.95,0.09,1933.75,9069.469727
13.08.2014 00:00:00.000 GMT+0300,1.33691,1.34151,1.33423,1.3364,1.29E+11,0.4,1.7,1.92,0.95,0.09,1946.72,9198.879883
14.08.2014 00:00:00.000 GMT+0300,1.3364,1.34077,1.33484,1.33646,1.34E+11,0.4,1.7,1.92,0.95,0.09,1955.18,9225.099609
15.08.2014 00:00:00.000 GMT+0300,1.33645,1.34117,1.33587,1.33976,1.39E+11,0.4,1.7,1.92,0.95,0.09,1955.06,9092.599609
16.08.2014 00:00:00.000 GMT+0300,1.33976,1.33976,1.33976,1.33976,0,0.4,1.7,1.92,0.95,0.09,1955.06,9092.599609
17.08.2014 00:00:00.000 GMT+0300,1.33976,1.33976,1.33976,1.33976,0,0.4,1.7,1.92,0.95,0.09,1955.06,9092.599609
18.08.2014 00:00:00.000 GMT+0300,1.33908,1.33991,1.33529,1.33634,92118940308,0.4,1.7,1.92,0.95,0.09,1971.74,9245.330078
19.08.2014 00:00:00.000 GMT+0300,1.33633,1.3364,1.33133,1.33198,1.31E+11,0.4,1.7,1.92,0.95,0.09,1981.6,9334.280273
20.08.2014 00:00:00.000 GMT+0300,1.33198,1.33243,1.32553,1.32587,1.43E+11,0.4,1.7,1.92,0.95,0.09,1986.51,9314.570313
21.08.2014 00:00:00.000 GMT+0300,1.3259,1.32884,1.32417,1.32805,1.26E+11,0.4,1.7,1.92,0.95,0.09,1992.37,9401.530273
22.08.2014 00:00:00.000 GMT+0300,1.32803,1.32966,1.32206,1.32392,1.45E+11,0.4,1.7,1.92,0.95,0.09,1988.4,9339.169922
23.08.2014 00:00:00.000 GMT+0300,1.32392,1.32392,1.32392,1.32392,0,0.4,1.7,1.92,0.95,0.09,1988.4,9339.169922
24.08.2014 00:00:00.000 GMT+0300,1.32392,1.32392,1.32392,1.32392,0,0.4,1.7,1.92,0.95,0.09,1988.4,9339.169922
25.08.2014 00:00:00.000 GMT+0300,1.31948,1.32103,1.31837,1.31919,1.21E+11,0.4,1.7,1.92,0.95,0.09,1997.92,9510.139648
26.08.2014 00:00:00.000 GMT+0300,1.31919,1.32147,1.31646,1.31669,1.43E+11,0.4,1.7,1.92,0.95,0.09,2000.02,9588.150391
27.08.2014 00:00:00.000 GMT+0300,1.31669,1.32098,1.31526,1.31926,1.52E+11,0.4,1.7,1.92,0.95,0.09,2000.12,9569.709961
28.08.2014 00:00:00.000 GMT+0300,1.31925,1.32208,1.31597,1.31817,1.43E+11,0.4,1.7,1.92,0.95,0.09,1996.74,9462.55957
29.08.2014 00:00:00.000 GMT+0300,1.31817,1.3196,1.31311,1.31311,1.45E+11,0.4,1.7,1.92,0.95,0.07,2003.37,9470.169922
30.08.2014 00:00:00.000 GMT+0300,1.31311,1.31311,1.31311,1.31311,0,0.4,1.7,1.92,0.95,0.07,2003.37,9470.169922
31.08.2014 00:00:00.000 GMT+0300,1.31311,1.31311,1.31311,1.31311,0,0.4,1.7,1.92,0.95,0.07,2003.37,9470.169922
01.09.2014 00:00:00.000 GMT+0300,1.31272,1.31454,1.3119,1.3128,1.11E+11,0.3,1.7,1.81,0.92,0.07,2003.37,9479.030273
02.09.2014 00:00:00.000 GMT+0300,1.31278,1.31367,1.31102,1.31329,1.43E+11,0.3,1.7,1.81,0.92,0.09,2002.28,9507.019531
03.09.2014 00:00:00.000 GMT+0300,1.31327,1.31599,1.3122,1.31496,1.56E+11,0.3,1.7,1.81,0.92,0.09,2000.72,9626.490234
04.09.2014 00:00:00.000 GMT+0300,1.31496,1.31539,1.29202,1.29432,2.10E+11,0.3,1.7,1.81,0.92,0.09,1997.65,9724.259766
05.09.2014 00:00:00.000 GMT+0300,1.29435,1.29878,1.29219,1.29505,1.83E+11,0.3,1.7,1.81,0.92,0.09,2007.71,9747.019531
06.09.2014 00:00:00.000 GMT+0300,1.29505,1.29505,1.29505,1.29505,0,0.3,1.7,1.81,0.92,0.09,2007.71,9747.019531
07.09.2014 00:00:00.000 GMT+0300,1.29505,1.29505,1.29505,1.29505,0,0.3,1.7,1.81,0.92,0.09,2007.71,9747.019531
08.09.2014 00:00:00.000 GMT+0300,1.29556,1.2959,1.28814,1.28944,1.89E+11,0.3,1.7,1.81,0.92,0.09,2001.54,9758.030273
09.09.2014 00:00:00.000 GMT+0300,1.28944,1.29574,1.28594,1.2937,2.05E+11,0.3,1.7,1.81,0.92,0.09,1988.44,9710.700195
10.09.2014 00:00:00.000 GMT+0300,1.2937,1.29629,1.28838,1.29166,2.01E+11,0.3,1.7,1.81,0.92,0.09,1995.69,9700.169922
11.09.2014 00:00:00.000 GMT+0300,1.29165,1.29517,1.2897,1.29235,2.00E+11,0.3,1.7,1.81,0.92,0.09,1997.45,9691.280273
12.09.2014 00:00:00.000 GMT+0300,1.29232,1.29793,1.29088,1.29616,1.91E+11,0.3,1.7,1.81,0.92,0.09,1985.54,9651.129883
13.09.2014 00:00:00.000 GMT+0300,1.29616,1.29616,1.29616,1.29616,0,0.3,1.7,1.81,0.92,0.09,1985.54,9651.129883
14.09.2014 00:00:00.000 GMT+0300,1.29616,1.29616,1.29616,1.29616,0,0.3,1.7,1.81,0.92,0.09,1985.54,9651.129883
15.09.2014 00:00:00.000 GMT+0300,1.29719,1.29727,1.29086,1.29397,1.71E+11,0.3,1.7,1.81,0.92,0.09,1984.13,9659.629883
16.09.2014 00:00:00.000 GMT+0300,1.29395,1.2995,1.29223,1.29593,2.02E+11,0.3,1.7,1.81,0.92,0.09,1998.98,9632.929688
17.09.2014 00:00:00.000 GMT+0300,1.29592,1.29813,1.2852,1.28644,1.87E+11,0.3,1.7,1.81,0.92,0.09,2001.57,9661.5
18.09.2014 00:00:00.000 GMT+0300,1.28644,1.29302,1.28344,1.29214,1.98E+11,0.3,1.7,1.81,0.92,0.09,2011.36,9798.129883
19.09.2014 00:00:00.000 GMT+0300,1.2922,1.29288,1.28275,1.28281,2.00E+11,0.3,1.7,1.81,0.92,0.09,2010.4,9799.259766
20.09.2014 00:00:00.000 GMT+0300,1.28281,1.28281,1.28281,1.28281,0,0.3,1.7,1.81,0.92,0.09,2010.4,9799.259766
21.09.2014 00:00:00.000 GMT+0300,1.28281,1.28281,1.28281,1.28281,0,0.3,1.7,1.81,0.92,0.09,2010.4,9799.259766
22.09.2014 00:00:00.000 GMT+0300,1.28331,1.28677,1.28162,1.28488,1.48E+11,0.3,1.7,1.81,0.92,0.09,1994.29,9749.540039
23.09.2014 00:00:00.000 GMT+0300,1.28488,1.29012,1.28426,1.28464,1.63E+11,0.3,1.7,1.81,0.92,0.09,1982.77,9595.030273
24.09.2014 00:00:00.000 GMT+0300,1.28463,1.28636,1.27741,1.278,1.76E+11,0.3,1.7,1.81,0.92,0.09,1998.3,9661.969727
25.09.2014 00:00:00.000 GMT+0300,1.27801,1.27832,1.2697,1.27502,1.90E+11,0.3,1.7,1.81,0.92,0.09,1965.99,9510.009766
26.09.2014 00:00:00.000 GMT+0300,1.27502,1.27607,1.26769,1.2682,1.66E+11,0.3,1.7,1.81,0.92,0.09,1982.85,9490.549805
27.09.2014 00:00:00.000 GMT+0300,1.2682,1.2682,1.2682,1.2682,0,0.3,1.7,1.81,0.92,0.09,1982.85,9490.549805
28.09.2014 00:00:00.000 GMT+0300,1.2682,1.2682,1.2682,1.2682,0,0.3,1.7,1.81,0.92,0.09,1982.85,9490.549805
29.09.2014 00:00:00.000 GMT+0300,1.26808,1.27147,1.26636,1.26848,1.78E+11,0.3,1.7,1.81,0.92,0.08,1977.8,9422.910156
30.09.2014 00:00:00.000 GMT+0300,1.26848,1.27022,1.2571,1.263,1.96E+11,0.3,1.7,1.81,0.92,0.07,1972.29,9474.299805
01.10.2014 00:00:00.000 GMT+0300,1.26303,1.26396,1.25836,1.26223,1.98E+11,0.4,1.8,1.71,0.79,0.09,1946.16,9382.030273
02.10.2014 00:00:00.000 GMT+0300,1.26223,1.26987,1.26138,1.26685,2.45E+11,0.4,1.8,1.71,0.79,0.09,1946.17,9195.679688
03.10.2014 00:00:00.000 GMT+0300,1.26681,1.26749,1.25005,1.25145,1.87E+11,0.4,1.8,1.71,0.79,0.09,1967.9,9195.679688
04.10.2014 00:00:00.000 GMT+0300,1.25145,1.25145,1.25145,1.25145,0,0.4,1.8,1.71,0.79,0.09,1967.9,9195.679688
05.10.2014 00:00:00.000 GMT+0300,1.25145,1.25145,1.25145,1.25145,0,0.4,1.8,1.71,0.79,0.09,1967.9,9195.679688
06.10.2014 00:00:00.000 GMT+0300,1.25107,1.26749,1.25089,1.26546,1.93E+11,0.4,1.8,1.71,0.79,0.09,1964.82,9209.509766
07.10.2014 00:00:00.000 GMT+0300,1.26545,1.26818,1.25837,1.26687,2.30E+11,0.4,1.8,1.71,0.79,0.09,1935.1,9086.209961
08.10.2014 00:00:00.000 GMT+0300,1.26684,1.27488,1.26226,1.27333,2.36E+11,0.4,1.8,1.71,0.79,0.09,1968.89,8995.330078
09.10.2014 00:00:00.000 GMT+0300,1.27333,1.27913,1.2664,1.26902,2.30E+11,0.4,1.8,1.71,0.79,0.08,1928.21,9005.019531
10.10.2014 00:00:00.000 GMT+0300,1.269,1.2716,1.26054,1.26268,1.93E+11,0.4,1.8,1.71,0.79,0.09,1906.13,8788.80957
11.10.2014 00:00:00.000 GMT+0300,1.26268,1.26268,1.26268,1.26268,0,0.4,1.8,1.71,0.79,0.09,1906.13,8788.80957
12.10.2014 00:00:00.000 GMT+0300,1.26268,1.26268,1.26268,1.26268,0,0.4,1.8,1.71,0.79,0.09,1906.13,8788.80957
13.10.2014 00:00:00.000 GMT+0300,1.26311,1.27609,1.26201,1.27514,1.78E+11,0.4,1.8,1.71,0.79,0.09,1874.74,8812.429688
14.10.2014 00:00:00.000 GMT+0300,1.27513,1.27679,1.26399,1.26575,2.12E+11,0.4,1.8,1.71,0.79,0.09,1877.7,8825.209961
15.10.2014 00:00:00.000 GMT+0300,1.26574,1.28865,1.26247,1.28374,2.89E+11,0.4,1.8,1.71,0.79,0.09,1862.49,8571.950195
