,Close,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
244,1.25758,2.6,2,3.37,1.49,0.13,1406.58,6970.790039
245,1.25758,2.6,2,3.37,1.49,0.13,1406.58,6970.790039
246,1.25919,2.6,2,3.37,1.49,0.13,1406.58,7014.830078
247,1.25651,2.6,2,3.37,1.49,0.14,1404.94,6932.580078
248,1.25996,2.6,2,3.37,1.49,0.16,1403.44,6964.689941
249,1.26301,2.6,2,3.37,1.49,0.16,1432.12,7167.330078
250,1.28152,2.6,2,3.37,1.49,0.15,1437.92,7214.5
251,1.28152,2.6,2,3.37,1.49,0.15,1437.92,7214.5
252,1.28152,2.6,2,3.37,1.49,0.15,1437.92,7214.5
253,1.27575,2.6,2,3.37,1.49,0.15,1429.08,7213.700195
254,1.28543,2.6,2,3.37,1.49,0.15,1433.56,7310.109863
255,1.28989,2.6,2,3.37,1.49,0.15,1436.56,7343.529785
256,1.29884,2.6,2,3.37,1.49,0.15,1459.99,7310.319824
257,1.31299,2.6,2,3.37,1.49,0.16,1465.77,7412.129883
258,1.31299,2.6,2,3.37,1.49,0.16,1465.77,7412.129883
259,1.31299,2.6,2,3.37,1.49,0.16,1465.77,7412.129883
260,1.31167,2.6,2,3.37,1.49,0.16,1461.19,7403.689941
261,1.30474,2.6,2,3.37,1.49,0.16,1459.32,7347.689941
262,1.30482,2.6,2,3.37,1.49,0.15,1461.05,7390.759766
263,1.29683,2.6,2,3.37,1.49,0.16,1460.26,7389.490234
264,1.29792,2.6,2,3.37,1.49,0.15,1460.15,7451.620117
265,1.29792,2.6,2,3.37,1.49,0.15,1460.15,7451.620117
266,1.29792,2.6,2,3.37,1.49,0.15,1460.15,7451.620117
267,1.29301,2.6,2,3.37,1.49,0.16,1456.89,7413.160156
268,1.28995,2.6,2,3.37,1.49,0.15,1441.59,7425.109863
269,1.28728,2.6,2,3.37,1.49,0.15,1433.32,7276.509766
270,1.29132,2.6,2,3.37,1.49,0.14,1447.15,7290.02002
271,1.28591,2.6,2,3.37,1.49,0.09,1440.67,7216.149902
272,1.28591,2.6,2,3.37,1.49,0.09,1440.67,7216.149902
273,1.28591,2.6,2,3.37,1.49,0.09,1440.67,7216.149902
274,1.28877,2.5,2,3.2,1.47,0.15,1444.49,7326.72998
275,1.29191,2.5,2,3.2,1.47,0.16,1445.75,7305.859863
276,1.29049,2.5,2,3.2,1.47,0.16,1450.99,7305.859863
277,1.30174,2.5,2,3.2,1.47,0.15,1461.4,7305.209961
278,1.30344,2.5,2,3.2,1.47,0.15,1460.93,7397.870117
279,1.30344,2.5,2,3.2,1.47,0.15,1460.93,7397.870117
280,1.30344,2.5,2,3.2,1.47,0.15,1460.93,7397.870117
281,1.29675,2.5,2,3.2,1.47,0.15,1455.88,7291.209961
282,1.2885,2.5,2,3.2,1.47,0.16,1441.48,7234.529785
283,1.28748,2.5,2,3.2,1.47,0.16,1432.56,7205.22998
284,1.29269,2.5,2,3.2,1.47,0.16,1432.84,7281.700195
285,1.29522,2.5,2,3.2,1.47,0.16,1428.59,7232.490234
286,1.29522,2.5,2,3.2,1.47,0.16,1428.59,7232.490234
287,1.29522,2.5,2,3.2,1.47,0.16,1428.59,7232.490234
288,1.29484,2.5,2,3.2,1.47,0.16,1440.13,7261.25
289,1.30531,2.5,2,3.2,1.47,0.16,1454.92,7376.27002
290,1.31185,2.5,2,3.2,1.47,0.15,1460.91,7394.549805
291,1.30663,2.5,2,3.2,1.47,0.15,1457.34,7437.22998
292,1.30188,2.5,2,3.2,1.47,0.16,1433.19,7380.640137
293,1.30188,2.5,2,3.2,1.47,0.16,1433.19,7380.640137
294,1.30188,2.5,2,3.2,1.47,0.16,1433.19,7380.640137
295,1.30594,2.5,2,3.2,1.47,0.15,1433.82,7328.049805
296,1.29863,2.5,2,3.2,1.47,0.15,1413.11,7173.689941
297,1.29726,2.5,2,3.2,1.47,0.17,1408.75,7192.850098
298,1.29333,2.5,2,3.2,1.47,0.16,1412.97,7200.22998
299,1.29403,2.5,2,3.2,1.47,0.16,1411.94,7231.850098
300,1.29403,2.5,2,3.2,1.47,0.16,1411.94,7231.850098
301,1.29403,2.5,2,3.2,1.47,0.16,1411.94,7231.850098
302,1.29032,2.5,2,3.2,1.47,0.17,1411.94,7203.160156
303,1.29594,2.5,2,3.2,1.47,0.17,1411.94,7284.399902
304,1.29597,2.5,2,3.2,1.47,0.18,1412.16,7260.629883
305,1.29422,2.5,2,3.2,1.47,0.17,1427.59,7335.669922
306,1.28349,2.2,1.9,3.1,1.34,0.16,1414.2,7363.850098
307,1.28349,2.2,1.9,3.1,1.34,0.16,1414.2,7363.850098
308,1.28349,2.2,1.9,3.1,1.34,0.16,1414.2,7363.850098
309,1.27957,2.2,1.9,3.1,1.34,0.17,1417.26,7326.470215
310,1.28137,2.2,1.9,3.1,1.34,0.16,1428.39,7377.759766
311,1.27708,2.2,1.9,3.1,1.34,0.16,1394.53,7232.830078
312,1.27468,2.2,1.9,3.1,1.34,0.16,1377.51,7204.959961
313,1.27109,2.2,1.9,3.1,1.34,0.16,1379.85,7163.5
314,1.27109,2.2,1.9,3.1,1.34,0.16,1379.85,7163.5
315,1.27109,2.2,1.9,3.1,1.34,0.16,1379.85,7163.5
316,1.27091,2.2,1.9,3.1,1.34,0.16,1380.03,7168.759766
317,1.27039,2.2,1.9,3.1,1.34,0.16,1374.53,7169.120117
318,1.27348,2.2,1.9,3.1,1.34,0.16,1355.49,7101.919922
319,1.27805,2.2,1.9,3.1,1.34,0.16,1353.33,7043.419922
