Date,Price,Open,High,Low,Vol.,Change %,
11/04/2015,"2,102.31","2,110.60","2,114.59","2,096.98",,-0.35%,"1,793.00"
11/05/2015,"2,099.93","2,101.68","2,108.78","2,090.41",,-0.11%,"1,792.00"
11/06/2015,"2,099.20","2,098.60","2,101.91","2,083.74",,-0.03%,"1,791.00"
11/09/2015,"2,078.58","2,096.56","2,096.56","2,068.24",,-0.98%,"1,790.00"
11/10/2015,"2,081.72","2,077.19","2,083.67","2,069.91",,0.15%,"1,789.00"
11/11/2015,"2,075.00","2,083.41","2,086.94","2,074.85",,-0.32%,"1,788.00"
11/12/2015,"2,045.97","2,072.29","2,072.29","2,045.66",,-1.40%,"1,787.00"
11/13/2015,"2,023.04","2,044.64","2,044.64","2,022.02",,-1.12%,"1,786.00"
11/16/2015,"2,053.19","2,022.08","2,053.22","2,019.39",,1.49%,"1,785.00"
11/17/2015,"2,050.44","2,053.67","2,066.69","2,045.90",,-0.13%,"1,784.00"
11/18/2015,"2,083.58","2,051.99","2,085.31","2,051.99",,1.62%,"1,783.00"
11/19/2015,"2,081.24","2,083.70","2,086.74","2,078.76",,-0.11%,"1,782.00"
11/20/2015,"2,089.17","2,082.82","2,097.06","2,082.82",,0.38%,"1,781.00"
11/23/2015,"2,086.59","2,089.41","2,095.61","2,081.39",,-0.12%,"1,780.00"
11/24/2015,"2,089.14","2,084.42","2,094.12","2,070.29",,0.12%,"1,779.00"
11/25/2015,"2,088.87","2,089.30","2,093.00","2,086.30",,-0.01%,"1,778.00"
11/27/2015,"2,090.11","2,088.82","2,093.29","2,084.13",,0.06%,"1,777.00"
11/30/2015,"2,080.41","2,090.95","2,093.81","2,080.41",,-0.46%,"1,776.00"
12/01/2015,"2,102.63","2,082.93","2,103.37","2,082.93",,1.07%,"1,775.00"
12/02/2015,"2,079.51","2,101.71","2,104.27","2,077.11",,-1.10%,"1,774.00"
12/03/2015,"2,049.62","2,080.71","2,085.00","2,042.35",,-1.44%,"1,773.00"
12/04/2015,"2,091.69","2,051.24","2,093.84","2,051.24",,2.05%,"1,772.00"
12/07/2015,"2,077.07","2,090.42","2,090.42","2,066.78",,-0.70%,"1,771.00"
12/08/2015,"2,063.59","2,073.39","2,073.85","2,052.32",,-0.65%,"1,770.00"
12/09/2015,"2,047.62","2,061.17","2,080.33","2,036.53",,-0.77%,"1,769.00"
12/10/2015,"2,052.23","2,047.93","2,067.65","2,045.67",,0.23%,"1,768.00"
12/11/2015,"2,012.37","2,047.27","2,047.27","2,008.80",,-1.94%,"1,767.00"
12/14/2015,"2,021.94","2,013.37","2,022.92","1,993.26",,0.48%,"1,766.00"
12/15/2015,"2,043.41","2,025.55","2,053.87","2,025.55",,1.06%,"1,765.00"
12/16/2015,"2,073.07","2,046.50","2,076.72","2,042.43",,1.45%,"1,764.00"
12/17/2015,"2,041.89","2,073.76","2,076.37","2,041.66",,-1.50%,"1,763.00"
12/18/2015,"2,005.55","2,040.81","2,040.81","2,005.33",,-1.78%,"1,762.00"
12/21/2015,"2,021.15","2,010.27","2,022.90","2,005.93",,0.78%,"1,761.00"
12/22/2015,"2,038.97","2,023.15","2,042.74","2,020.49",,0.88%,"1,760.00"
12/23/2015,"2,064.29","2,042.20","2,064.73","2,042.20",,1.24%,"1,759.00"
12/24/2015,"2,060.99","2,063.52","2,067.36","2,058.73",,-0.16%,"1,758.00"
12/28/2015,"2,056.50","2,057.77","2,057.77","2,044.20",,-0.22%,"1,757.00"
12/29/2015,"2,078.36","2,060.54","2,081.56","2,060.54",,1.06%,"1,756.00"
12/30/2015,"2,063.36","2,077.34","2,077.34","2,061.97",,-0.72%,"1,755.00"
12/31/2015,"2,043.94","2,060.59","2,062.54","2,043.62",,-0.94%,"1,754.00"
01/04/2016,"2,012.66","2,038.20","2,038.20","1,989.68",,-1.53%,"1,753.00"
01/05/2016,"2,016.71","2,013.78","2,021.94","2,004.17",,0.20%,"1,752.00"
01/06/2016,"1,990.26","2,011.71","2,011.71","1,979.05",,-1.31%,"1,751.00"
01/07/2016,"1,943.09","1,985.32","1,985.32","1,938.83",,-2.37%,"1,750.00"
01/08/2016,"1,922.03","1,945.97","1,960.40","1,918.46",,-1.08%,"1,749.00"
01/11/2016,"1,923.67","1,926.12","1,935.65","1,901.10",,0.09%,"1,748.00"
01/12/2016,"1,938.68","1,927.83","1,947.38","1,914.35",,0.78%,"1,747.00"
01/13/2016,"1,890.28","1,940.34","1,950.33","1,886.41",,-2.50%,"1,746.00"
01/14/2016,"1,921.84","1,891.68","1,934.47","1,878.93",,1.67%,"1,745.00"
01/15/2016,"1,880.33","1,916.68","1,916.68","1,857.83",,-2.16%,"1,744.00"
01/19/2016,"1,881.33","1,888.66","1,901.44","1,864.60",,0.05%,"1,743.00"
01/20/2016,"1,859.33","1,876.18","1,876.18","1,812.29",,-1.17%,"1,742.00"
01/21/2016,"1,868.99","1,861.46","1,889.85","1,848.98",,0.52%,"1,741.00"
01/22/2016,"1,906.90","1,877.40","1,908.85","1,877.40",,2.03%,"1,740.00"
01/25/2016,"1,877.08","1,906.28","1,906.28","1,875.97",,-1.56%,"1,739.00"
01/26/2016,"1,903.63","1,878.79","1,906.73","1,878.79",,1.41%,"1,738.00"
01/27/2016,"1,882.95","1,902.52","1,916.99","1,872.70",,-1.09%,"1,737.00"
01/28/2016,"1,893.36","1,885.22","1,902.96","1,873.65",,0.55%,"1,736.00"
01/29/2016,"1,940.24","1,894.00","1,940.24","1,894.00",,2.48%,"1,735.00"
02/01/2016,"1,939.38","1,936.94","1,947.20","1,920.30",,-0.04%,"1,734.00"
02/02/2016,"1,903.03","1,935.26","1,935.26","1,897.29",,-1.87%,"1,733.00"
02/03/2016,"1,912.53","1,907.07","1,918.01","1,872.23",,0.50%,"1,732.00"
02/04/2016,"1,915.45","1,911.67","1,927.35","1,900.52",,0.15%,"1,731.00"
02/05/2016,"1,880.05","1,913.07","1,913.07","1,872.65",,-1.85%,"1,730.00"
02/08/2016,"1,853.44","1,873.25","1,873.25","1,828.46",,-1.42%,"1,729.00"
02/09/2016,"1,852.21","1,848.46","1,868.25","1,834.94",,-0.07%,"1,728.00"
02/10/2016,"1,851.86","1,857.10","1,881.60","1,850.32",,-0.02%,"1,727.00"
02/11/2016,"1,829.08","1,847.00","1,847.00","1,810.10",,-1.23%,"1,726.00"
02/12/2016,"1,864.78","1,833.40","1,864.78","1,833.40",,1.95%,"1,725.00"
02/16/2016,"1,895.58","1,871.44","1,895.77","1,871.44",,1.65%,"1,724.00"
02/17/2016,"1,926.82","1,898.80","1,930.68","1,898.80",,1.65%,"1,723.00"
02/18/2016,"1,917.83","1,927.57","1,930.00","1,915.09",,-0.47%,"1,722.00"
02/19/2016,"1,917.78","1,916.74","1,918.78","1,902.17",,0.00%,"1,721.00"
02/22/2016,"1,945.50","1,924.44","1,946.70","1,924.44",,1.45%,"1,720.00"
02/23/2016,"1,921.27","1,942.38","1,942.38","1,919.44",,-1.25%,"1,719.00"
02/24/2016,"1,929.80","1,917.56","1,932.08","1,891.00",,0.44%,"1,718.00"
02/25/2016,"1,951.70","1,931.87","1,951.83","1,925.41",,1.13%,"1,717.00"
02/26/2016,"1,948.05","1,954.95","1,962.96","1,945.78",,-0.19%,"1,716.00"
02/29/2016,"1,932.23","1,947.13","1,958.27","1,931.81",,-0.81%,"1,715.00"
03/01/2016,"1,978.35","1,937.09","1,978.35","1,937.09",,2.39%,"1,714.00"
03/02/2016,"1,986.45","1,976.60","1,986.51","1,968.80",,0.41%,"1,713.00"
03/03/2016,"1,993.40","1,985.60","1,993.69","1,977.37",,0.35%,"1,712.00"
03/04/2016,"1,999.99","1,994.01","2,009.13","1,986.77",,0.33%,"1,711.00"
03/07/2016,"2,001.76","1,996.11","2,006.12","1,989.38",,0.09%,"1,710.00"
03/08/2016,"1,979.26","1,996.88","1,996.88","1,977.43",,-1.12%,"1,709.00"
03/09/2016,"1,989.26","1,981.44","1,992.69","1,979.84",,0.51%,"1,708.00"
03/10/2016,"1,989.57","1,990.97","2,005.08","1,969.25",,0.02%,"1,707.00"
03/11/2016,"2,022.19","1,994.71","2,022.37","1,994.71",,1.64%,"1,706.00"
03/14/2016,"2,019.64","2,019.27","2,024.57","2,012.05",,-0.13%,"1,705.00"
03/15/2016,"2,015.93","2,015.27","2,015.94","2,005.23",,-0.18%,"1,704.00"
03/16/2016,"2,027.22","2,014.24","2,032.02","2,010.04",,0.56%,"1,703.00"
03/17/2016,"2,040.59","2,026.90","2,046.24","2,022.16",,0.66%,"1,702.00"
03/18/2016,"2,049.58","2,041.16","2,052.36","2,041.16",,0.44%,"1,701.00"
03/21/2016,"2,051.60","2,047.88","2,053.91","2,043.14",,0.10%,"1,700.00"
03/22/2016,"2,049.80","2,048.64","2,056.60","2,040.57",,-0.09%,"1,699.00"
03/23/2016,"2,036.71","2,048.55","2,048.55","2,034.86",,-0.64%,"1,698.00"
03/24/2016,"2,035.94","2,032.48","2,036.04","2,022.49",,-0.04%,"1,697.00"
03/28/2016,"2,037.05","2,037.89","2,042.67","2,031.96",,0.05%,"1,696.00"
03/29/2016,"2,055.01","2,035.75","2,055.91","2,028.31",,0.88%,"1,695.00"
03/30/2016,"2,063.95","2,058.27","2,072.21","2,058.27",,0.44%,"1,694.00"
03/31/2016,"2,059.74","2,063.77","2,067.92","2,057.46",,-0.20%,"1,693.00"
04/01/2016,"2,072.78","2,056.62","2,075.07","2,043.98",,0.63%,"1,692.00"
04/04/2016,"2,066.13","2,073.19","2,074.02","2,062.57",,-0.32%,"1,691.00"
04/05/2016,"2,045.17","2,062.50","2,062.50","2,042.56",,-1.01%,"1,690.00"
04/06/2016,"2,066.66","2,045.56","2,067.33","2,043.09",,1.05%,"1,689.00"
04/07/2016,"2,041.91","2,063.01","2,063.01","2,033.80",,-1.20%,"1,688.00"
04/08/2016,"2,047.60","2,045.54","2,060.63","2,041.69",,0.28%,"1,687.00"
04/11/2016,"2,041.99","2,050.23","2,062.93","2,041.88",,-0.27%,"1,686.00"
04/12/2016,"2,061.72","2,043.72","2,065.05","2,039.74",,0.97%,"1,685.00"
04/13/2016,"2,082.42","2,065.92","2,083.18","2,065.92",,1.00%,"1,684.00"
04/14/2016,"2,082.78","2,082.89","2,087.84","2,078.13",,0.02%,"1,683.00"
04/15/2016,"2,080.73","2,083.10","2,083.22","2,076.31",,-0.10%,"1,682.00"
04/18/2016,"2,094.34","2,078.83","2,094.66","2,073.65",,0.65%,"1,681.00"
04/19/2016,"2,100.80","2,096.05","2,104.05","2,091.68",,0.31%,"1,680.00"
04/20/2016,"2,102.40","2,101.52","2,111.05","2,096.32",,0.08%,"1,679.00"
04/21/2016,"2,091.48","2,102.09","2,103.78","2,088.52",,-0.52%,"1,678.00"
04/22/2016,"2,091.58","2,091.49","2,094.32","2,081.20",,0.00%,"1,677.00"
04/25/2016,"2,087.79","2,089.37","2,089.37","2,077.52",,-0.18%,"1,676.00"
04/26/2016,"2,091.70","2,089.84","2,096.87","2,085.80",,0.19%,"1,675.00"
04/27/2016,"2,095.15","2,092.33","2,099.89","2,082.31",,0.16%,"1,674.00"
04/28/2016,"2,075.81","2,090.93","2,099.30","2,071.62",,-0.92%,"1,673.00"
