datetime,symbol,open,high,low,close,volume
2022-12-12 08:45:00,OANDA:EURUSD,1.0568,1.05692,1.05661,1.05664,91.0
2022-12-12 08:46:00,OANDA:EURUSD,1.05664,1.05666,1.05647,1.05647,83.0
2022-12-12 08:47:00,OANDA:EURUSD,1.05647,1.05648,1.05633,1.05636,87.0
2022-12-12 08:48:00,OANDA:EURUSD,1.05636,1.05692,1.05636,1.05692,117.0
2022-12-12 08:49:00,OANDA:EURUSD,1.05692,1.05716,1.0569,1.05716,115.0
2022-12-12 08:50:00,OANDA:EURUSD,1.05716,1.05718,1.05704,1.05704,112.0
2022-12-12 08:51:00,OANDA:EURUSD,1.05704,1.05706,1.05691,1.05692,94.0
2022-12-12 08:52:00,OANDA:EURUSD,1.05692,1.05696,1.05683,1.05692,47.0
2022-12-12 08:53:00,OANDA:EURUSD,1.05692,1.05742,1.05692,1.05737,111.0
2022-12-12 08:54:00,OANDA:EURUSD,1.05737,1.05748,1.0571,1.05718,167.0
2022-12-12 08:55:00,OANDA:EURUSD,1.05718,1.05721,1.05706,1.0572,131.0
2022-12-12 08:56:00,OANDA:EURUSD,1.0572,1.05776,1.0572,1.05764,146.0
2022-12-12 08:57:00,OANDA:EURUSD,1.05764,1.0577,1.05752,1.05754,133.0
2022-12-12 08:58:00,OANDA:EURUSD,1.05754,1.0576,1.05742,1.05746,106.0
2022-12-12 08:59:00,OANDA:EURUSD,1.05746,1.05746,1.05711,1.05716,121.0
2022-12-12 09:00:00,OANDA:EURUSD,1.05716,1.0573,1.0571,1.05725,170.0
2022-12-12 09:01:00,OANDA:EURUSD,1.05725,1.05737,1.0572,1.05732,137.0
2022-12-12 09:02:00,OANDA:EURUSD,1.05732,1.05738,1.05694,1.05696,117.0
2022-12-12 09:03:00,OANDA:EURUSD,1.05696,1.05706,1.05681,1.05681,132.0
2022-12-12 09:04:00,OANDA:EURUSD,1.05681,1.05686,1.0567,1.05674,129.0
2022-12-12 09:05:00,OANDA:EURUSD,1.05674,1.05694,1.0567,1.05692,164.0
2022-12-12 09:06:00,OANDA:EURUSD,1.05692,1.05722,1.0569,1.05716,151.0
2022-12-12 09:07:00,OANDA:EURUSD,1.05716,1.05766,1.05716,1.05762,200.0
2022-12-12 09:08:00,OANDA:EURUSD,1.05762,1.05762,1.05744,1.05748,140.0
2022-12-12 09:09:00,OANDA:EURUSD,1.05748,1.0575,1.0571,1.0571,140.0
2022-12-12 09:10:00,OANDA:EURUSD,1.0571,1.05714,1.05703,1.0571,164.0
2022-12-12 09:11:00,OANDA:EURUSD,1.0571,1.05725,1.0571,1.05718,110.0
2022-12-12 09:12:00,OANDA:EURUSD,1.05718,1.05742,1.05718,1.05725,129.0
2022-12-12 09:13:00,OANDA:EURUSD,1.05725,1.0573,1.05712,1.05712,99.0
2022-12-12 09:14:00,OANDA:EURUSD,1.05712,1.05718,1.0569,1.0569,146.0
2022-12-12 09:15:00,OANDA:EURUSD,1.0569,1.057,1.05668,1.05674,135.0
2022-12-12 09:16:00,OANDA:EURUSD,1.05674,1.05674,1.05656,1.05665,163.0
2022-12-12 09:17:00,OANDA:EURUSD,1.05665,1.05682,1.05656,1.05682,126.0
2022-12-12 09:18:00,OANDA:EURUSD,1.05682,1.05682,1.05634,1.05637,136.0
2022-12-12 09:19:00,OANDA:EURUSD,1.05637,1.05654,1.05634,1.0564,103.0
2022-12-12 09:20:00,OANDA:EURUSD,1.0564,1.05642,1.05621,1.05631,124.0
2022-12-12 09:21:00,OANDA:EURUSD,1.05631,1.05646,1.05622,1.05626,162.0
2022-12-12 09:22:00,OANDA:EURUSD,1.05626,1.05638,1.05614,1.05631,118.0
2022-12-12 09:23:00,OANDA:EURUSD,1.05631,1.05642,1.05628,1.0563,123.0
2022-12-12 09:24:00,OANDA:EURUSD,1.0563,1.05647,1.05624,1.05626,108.0
2022-12-12 09:25:00,OANDA:EURUSD,1.05626,1.05626,1.0562,1.05624,120.0
2022-12-12 09:26:00,OANDA:EURUSD,1.05624,1.05628,1.05615,1.05618,93.0
2022-12-12 09:27:00,OANDA:EURUSD,1.05618,1.05622,1.05602,1.05604,113.0
2022-12-12 09:28:00,OANDA:EURUSD,1.05604,1.05609,1.05602,1.05608,71.0
2022-12-12 09:29:00,OANDA:EURUSD,1.05608,1.05608,1.05596,1.05596,72.0
2022-12-12 09:30:00,OANDA:EURUSD,1.05596,1.05598,1.05578,1.05594,281.0
2022-12-12 09:31:00,OANDA:EURUSD,1.05594,1.05598,1.05582,1.05594,249.0
2022-12-12 09:32:00,OANDA:EURUSD,1.05594,1.05604,1.05586,1.056,241.0
2022-12-12 09:33:00,OANDA:EURUSD,1.056,1.05601,1.05576,1.0559,255.0
2022-12-12 09:34:00,OANDA:EURUSD,1.0559,1.0559,1.05574,1.0558,205.0
2022-12-12 09:35:00,OANDA:EURUSD,1.0558,1.05582,1.05558,1.0556,144.0
2022-12-12 09:36:00,OANDA:EURUSD,1.0556,1.05576,1.05558,1.05564,117.0
2022-12-12 09:37:00,OANDA:EURUSD,1.05564,1.05574,1.05558,1.05573,119.0
2022-12-12 09:38:00,OANDA:EURUSD,1.05573,1.05576,1.05552,1.05552,149.0
2022-12-12 09:39:00,OANDA:EURUSD,1.05552,1.05561,1.05544,1.05546,174.0
2022-12-12 09:40:00,OANDA:EURUSD,1.05546,1.0555,1.05542,1.05548,129.0
2022-12-12 09:41:00,OANDA:EURUSD,1.05548,1.0556,1.05546,1.05556,139.0
2022-12-12 09:42:00,OANDA:EURUSD,1.05556,1.05563,1.05502,1.05507,197.0
2022-12-12 09:43:00,OANDA:EURUSD,1.05507,1.0553,1.05496,1.0552,156.0
2022-12-12 09:44:00,OANDA:EURUSD,1.0552,1.05522,1.05502,1.05512,152.0
2022-12-12 09:45:00,OANDA:EURUSD,1.05512,1.05536,1.0551,1.0553,201.0
2022-12-12 09:46:00,OANDA:EURUSD,1.0553,1.0554,1.05518,1.05537,190.0
2022-12-12 09:47:00,OANDA:EURUSD,1.05537,1.05538,1.05522,1.05525,183.0
2022-12-12 09:48:00,OANDA:EURUSD,1.05525,1.0554,1.05504,1.05534,171.0
2022-12-12 09:49:00,OANDA:EURUSD,1.05534,1.0557,1.05534,1.05558,221.0
2022-12-12 09:50:00,OANDA:EURUSD,1.05558,1.05574,1.05554,1.05554,149.0
2022-12-12 09:51:00,OANDA:EURUSD,1.05554,1.0556,1.05542,1.05556,134.0
2022-12-12 09:52:00,OANDA:EURUSD,1.05556,1.05576,1.05541,1.0557,175.0
2022-12-12 09:53:00,OANDA:EURUSD,1.0557,1.05579,1.05568,1.05577,81.0
2022-12-12 09:54:00,OANDA:EURUSD,1.05577,1.05582,1.05569,1.05572,120.0
2022-12-12 09:55:00,OANDA:EURUSD,1.05572,1.0558,1.05568,1.05578,103.0
2022-12-12 09:56:00,OANDA:EURUSD,1.05578,1.05594,1.05572,1.05594,96.0
2022-12-12 09:57:00,OANDA:EURUSD,1.05594,1.056,1.05582,1.05598,155.0
2022-12-12 09:58:00,OANDA:EURUSD,1.05598,1.05602,1.05566,1.05566,117.0
2022-12-12 09:59:00,OANDA:EURUSD,1.05566,1.05572,1.05546,1.05556,149.0
