Local time,Open,High,Low,Close,Volume
21.08.2013 17:00:00.000 GMT-0400,1.33555,1.33730,1.32979,1.33563,214152.4004
22.08.2013 17:00:00.000 GMT-0400,1.33564,1.34096,1.33330,1.33799,207895.8224
25.08.2013 17:00:00.000 GMT-0400,1.33854,1.33940,1.33563,1.33686,115672.58099999999
26.08.2013 17:00:00.000 GMT-0400,1.33684,1.33987,1.33232,1.33921,206196.0208
27.08.2013 17:00:00.000 GMT-0400,1.33930,1.33976,1.33049,1.33393,204816.65780000002
28.08.2013 17:00:00.000 GMT-0400,1.33392,1.33430,1.32191,1.32407,200531.56989999997
29.08.2013 17:00:00.000 GMT-0400,1.32409,1.32548,1.31734,1.32208,179029.01100000003
31.08.2013 17:00:00.000 GMT-0400,1.32208,1.32213,1.32208,1.32213,0
01.09.2013 17:00:00.000 GMT-0400,1.32108,1.32270,1.31836,1.31906,118333.88889999999
02.09.2013 17:00:00.000 GMT-0400,1.31906,1.31968,1.31385,1.31701,183303.04959999997
03.09.2013 17:00:00.000 GMT-0400,1.31705,1.32177,1.31570,1.32068,163622.28
04.09.2013 17:00:00.000 GMT-0400,1.32068,1.32228,1.31105,1.31200,206814.07070000004
05.09.2013 17:00:00.000 GMT-0400,1.31200,1.31891,1.31046,1.31765,188371.43990000003
08.09.2013 17:00:00.000 GMT-0400,1.31622,1.32806,1.31620,1.32548,159942.2604
09.09.2013 17:00:00.000 GMT-0400,1.32547,1.32757,1.32298,1.32676,172083.0818
10.09.2013 17:00:00.000 GMT-0400,1.32669,1.33244,1.32439,1.33103,200412.53170000002
11.09.2013 17:00:00.000 GMT-0400,1.33095,1.33244,1.32552,1.32990,174276.3884
12.09.2013 17:00:00.000 GMT-0400,1.32990,1.33210,1.32538,1.32930,161714.68769999998
15.09.2013 17:00:00.000 GMT-0400,1.33528,1.33854,1.33301,1.33335,162902.12149999998
16.09.2013 17:00:00.000 GMT-0400,1.33335,1.33692,1.33248,1.33578,143980.7307
17.09.2013 17:00:00.000 GMT-0400,1.33577,1.35418,1.33380,1.35209,227657.45289999997
18.09.2013 17:00:00.000 GMT-0400,1.35212,1.35685,1.35010,1.35288,243017.30130000005
19.09.2013 17:00:00.000 GMT-0400,1.35291,1.35487,1.34977,1.35220,179072.85049999997
22.09.2013 17:00:00.000 GMT-0400,1.35460,1.35476,1.34790,1.34927,160532.83909999998
23.09.2013 17:00:00.000 GMT-0400,1.34927,1.35188,1.34640,1.34734,173344.88909999997
24.09.2013 17:00:00.000 GMT-0400,1.34734,1.35370,1.34613,1.35255,160908.79069999998
25.09.2013 17:00:00.000 GMT-0400,1.35255,1.35312,1.34720,1.34882,165648.9413
26.09.2013 17:00:00.000 GMT-0400,1.34881,1.35644,1.34740,1.35210,171496.93130000003
29.09.2013 17:00:00.000 GMT-0400,1.34923,1.35560,1.34767,1.35259,158278.0715
30.09.2013 17:00:00.000 GMT-0400,1.35254,1.35880,1.35169,1.35261,185439.97190000003
01.10.2013 17:00:00.000 GMT-0400,1.35261,1.36066,1.35043,1.35783,213801.479
02.10.2013 17:00:00.000 GMT-0400,1.35779,1.36459,1.35775,1.36180,184327.641
03.10.2013 17:00:00.000 GMT-0400,1.36180,1.36316,1.35380,1.35569,155655.10060000003
