Local time,Open,High,Low,Close,Volume
13.09.2012 17:00:00.000 GMT-0400,0.96832,0.97211,0.96328,0.97107,116878.85939999999
16.09.2012 17:00:00.000 GMT-0400,0.97009,0.97599,0.96929,0.97459,96918.53909999998
17.09.2012 17:00:00.000 GMT-0400,0.97456,0.97655,0.97302,0.97411,106181.75919999999
18.09.2012 17:00:00.000 GMT-0400,0.97415,0.97638,0.97250,0.97442,102775.96070000003
19.09.2012 17:00:00.000 GMT-0400,0.97441,0.98157,0.97436,0.97664,111912.9498
20.09.2012 17:00:00.000 GMT-0400,0.97679,0.97793,0.97313,0.97612,103711.5297
23.09.2012 17:00:00.000 GMT-0400,0.97533,0.98177,0.97533,0.97850,92770.94999999998
24.09.2012 17:00:00.000 GMT-0400,0.97840,0.98107,0.97560,0.98058,110891.0294
25.09.2012 17:00:00.000 GMT-0400,0.98058,0.98596,0.97998,0.98542,110727.39089999998
26.09.2012 17:00:00.000 GMT-0400,0.98542,0.98553,0.97912,0.98048,103533.03929999999
27.09.2012 17:00:00.000 GMT-0400,0.98049,0.98512,0.97809,0.98357,106820.3087
30.09.2012 17:00:00.000 GMT-0400,0.98392,0.98538,0.97976,0.98228,117026.96979999999
01.10.2012 17:00:00.000 GMT-0400,0.98205,0.98429,0.98114,0.98410,107393.04060000001
02.10.2012 17:00:00.000 GMT-0400,0.98404,0.98840,0.98390,0.98751,118312.54969999997
03.10.2012 17:00:00.000 GMT-0400,0.98751,0.98788,0.97999,0.98033,124465.84029999998
04.10.2012 17:00:00.000 GMT-0400,0.98033,0.98118,0.97346,0.97846,106593.4503
07.10.2012 17:00:00.000 GMT-0400,0.97720,0.98001,0.97510,0.97678,102799.26990000001
08.10.2012 17:00:00.000 GMT-0400,0.97680,0.98073,0.97442,0.97820,127212.87090000001
09.10.2012 17:00:00.000 GMT-0400,0.97819,0.98169,0.97681,0.98164,121713.24949999999
10.10.2012 17:00:00.000 GMT-0400,0.98164,0.98346,0.97629,0.97849,119633.7296
11.10.2012 17:00:00.000 GMT-0400,0.97848,0.98084,0.97676,0.98000,110273.2895
14.10.2012 17:00:00.000 GMT-0400,0.97851,0.98109,0.97688,0.98063,104908.1995
15.10.2012 17:00:00.000 GMT-0400,0.98055,0.98787,0.98019,0.98652,124826.27080000001
16.10.2012 17:00:00.000 GMT-0400,0.98658,0.98707,0.97720,0.97774,124141.36000000002
17.10.2012 17:00:00.000 GMT-0400,0.97779,0.98589,0.97634,0.98518,108922.94099999999
18.10.2012 17:00:00.000 GMT-0400,0.98519,0.99391,0.98441,0.99331,115731.3303
21.10.2012 17:00:00.000 GMT-0400,0.99425,0.99638,0.99164,0.99203,110480.0293
22.10.2012 17:00:00.000 GMT-0400,0.99202,0.99757,0.99003,0.99231,122802.0097
23.10.2012 17:00:00.000 GMT-0400,0.99230,0.99576,0.98885,0.99346,127151.18949999998
24.10.2012 17:00:00.000 GMT-0400,0.99346,0.99538,0.99024,0.99474,119915.5393
25.10.2012 17:00:00.000 GMT-0400,0.99473,0.99936,0.99417,0.99694,124095.19969999995
28.10.2012 17:00:00.000 GMT-0400,0.99767,1.00107,0.99711,1.00090,78435.97919999999
29.10.2012 17:00:00.000 GMT-0400,1.00090,1.00187,0.99832,0.99922,56579.909999999996
30.10.2012 17:00:00.000 GMT-0400,0.99919,1.00138,0.99599,0.99934,100139.8287
31.10.2012 17:00:00.000 GMT-0400,0.99935,1.00129,0.99595,0.99651,88171.12060000001
01.11.2012 17:00:00.000 GMT-0400,0.99629,0.99844,0.99214,0.99564,113800.94930000001
04.11.2012 17:00:00.000 GMT-0500,0.99536,0.99766,0.99402,0.99624,97321.20950000001
05.11.2012 17:00:00.000 GMT-0500,0.99629,0.99671,0.99107,0.99205,101634.13
06.11.2012 17:00:00.000 GMT-0500,0.99200,0.99829,0.98742,0.99664,157272.85
07.11.2012 17:00:00.000 GMT-0500,0.99664,1.00037,0.99474,1.00021,129984.50039999999
08.11.2012 17:00:00.000 GMT-0500,1.00024,1.00329,0.99826,1.00150,112176.67890000001
11.11.2012 17:00:00.000 GMT-0500,0.99975,1.00061,0.99845,0.99976,74220.6899
12.11.2012 17:00:00.000 GMT-0500,0.99970,1.00350,0.99907,1.00198,89525.57019999999
13.11.2012 17:00:00.000 GMT-0500,1.00195,1.00401,0.99979,1.00384,83883.5493
14.11.2012 17:00:00.000 GMT-0500,1.00384,1.00413,1.00049,1.00089,85580.2898
15.11.2012 17:00:00.000 GMT-0500,1.00089,1.00565,0.99965,1.00108,90498.0096
18.11.2012 17:00:00.000 GMT-0500,1.00004,1.00176,0.99543,0.99624,77731.86999999998
19.11.2012 17:00:00.000 GMT-0500,0.99627,0.99907,0.99550,0.99669,77631.58029999999
20.11.2012 17:00:00.000 GMT-0500,0.99671,0.99913,0.99574,0.99631,76220.27009999998
21.11.2012 17:00:00.000 GMT-0500,0.99631,0.99817,0.99522,0.99703,47817.79009999999
22.11.2012 17:00:00.000 GMT-0500,0.99703,0.99814,0.99149,0.99275,65482.41030000001
25.11.2012 17:00:00.000 GMT-0500,0.99255,0.99597,0.99173,0.99337,70470.9295
26.11.2012 17:00:00.000 GMT-0500,0.99333,0.99480,0.99055,0.99447,72670.54
27.11.2012 17:00:00.000 GMT-0500,0.99447,0.99606,0.99177,0.99196,81505.2294
28.11.2012 17:00:00.000 GMT-0500,0.99196,0.99385,0.99117,0.99232,75030.8695
29.11.2012 17:00:00.000 GMT-0500,0.99241,0.99508,0.99213,0.99415,78289.94
30.11.2012 17:00:00.000 GMT-0500,0.99415,0.99418,0.99415,0.99418,0
02.12.2012 17:00:00.000 GMT-0500,0.99321,0.99523,0.99148,0.99501,70646.18040000001
03.12.2012 17:00:00.000 GMT-0500,0.99500,0.99538,0.99147,0.99272,73180.9905
04.12.2012 17:00:00.000 GMT-0500,0.99255,0.99411,0.99077,0.99159,81520.22009999999
05.12.2012 17:00:00.000 GMT-0500,0.99155,0.99261,0.98919,0.99129,80015.53090000001
06.12.2012 17:00:00.000 GMT-0500,0.99125,0.99331,0.98759,0.98824,75007.90060000001
09.12.2012 17:00:00.000 GMT-0500,0.98708,0.98878,0.98620,0.98620,71020.11009999999
10.12.2012 17:00:00.000 GMT-0500,0.98614,0.98798,0.98571,0.98607,66215.71010000001
11.12.2012 17:00:00.000 GMT-0500,0.98605,0.98654,0.98260,0.98440,68656.84990000002
12.12.2012 17:00:00.000 GMT-0500,0.98440,0.98555,0.98248,0.98478,68351.21999999999
13.12.2012 17:00:00.000 GMT-0500,0.98479,0.98655,0.98321,0.98550,67971.0489
16.12.2012 17:00:00.000 GMT-0500,0.98617,0.98808,0.98330,0.98340,64180.61020000001
17.12.2012 17:00:00.000 GMT-0500,0.98337,0.98588,0.98308,0.98561,53933.3404
18.12.2012 17:00:00.000 GMT-0500,0.98562,0.98875,0.98490,0.98865,63507.350000000006
19.12.2012 17:00:00.000 GMT-0500,0.98861,0.98960,0.98691,0.98763,67271.03
20.12.2012 17:00:00.000 GMT-0500,0.98757,0.99528,0.98720,0.99307,74155.24990000001
23.12.2012 17:00:00.000 GMT-0500,0.99338,0.99447,0.99068,0.99278,46636.42999999999
24.12.2012 17:00:00.000 GMT-0500,0.99275,0.99325,0.99060,0.99152,6942.6900000000005
25.12.2012 17:00:00.000 GMT-0500,0.99130,0.99505,0.98966,0.99415,39271.94980000001
26.12.2012 17:00:00.000 GMT-0500,0.99415,0.99582,0.99082,0.99508,59080.1398
27.12.2012 17:00:00.000 GMT-0500,0.99507,0.99701,0.99387,0.99675,65591.21
30.12.2012 17:00:00.000 GMT-0500,0.99598,0.99703,0.99095,0.99166,66853.84
31.12.2012 17:00:00.000 GMT-0500,0.99207,0.99312,0.99163,0.99221,93.72
01.01.2013 17:00:00.000 GMT-0500,0.99278,0.99426,0.98363,0.98492,76296.60059999999
02.01.2013 17:00:00.000 GMT-0500,0.98491,0.98834,0.98426,0.98770,66733.7899
03.01.2013 17:00:00.000 GMT-0500,0.98766,0.99229,0.98480,0.98703,74109.8404
06.01.2013 17:00:00.000 GMT-0500,0.98608,0.98842,0.98534,0.98579,59911.099500000004
07.01.2013 17:00:00.000 GMT-0500,0.98580,0.98822,0.98428,0.98660,64515.5005
08.01.2013 17:00:00.000 GMT-0500,0.98658,0.98802,0.98548,0.98753,64624.54039999999
09.01.2013 17:00:00.000 GMT-0500,0.98754,0.98799,0.98310,0.98311,76457.4991
10.01.2013 17:00:00.000 GMT-0500,0.98304,0.98533,0.98153,0.98470,76586.98960000002
13.01.2013 17:00:00.000 GMT-0500,0.98399,0.98656,0.98316,0.98361,66315.98019999999
14.01.2013 17:00:00.000 GMT-0500,0.98360,0.98664,0.98314,0.98420,75870.8499
15.01.2013 17:00:00.000 GMT-0500,0.98420,0.98770,0.98373,0.98580,74131.58989999999
16.01.2013 17:00:00.000 GMT-0500,0.98580,0.98850,0.98430,0.98566,69568.94020000001
17.01.2013 17:00:00.000 GMT-0500,0.98566,0.99461,0.98523,0.99162,81351.9988
20.01.2013 17:00:00.000 GMT-0500,0.99158,0.99388,0.99096,0.99275,53262.4707
21.01.2013 17:00:00.000 GMT-0500,0.99280,0.99453,0.99088,0.99177,82691.99010000001
