,Close,MA10,MACD,ROC,Momentum,RSI,BOLU,BOLD,CCI,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
117,1.24825,1.247555,-0.012218526,-0.002668606,-0.00986,38.96299568,1.282253448,1.232632552,-20.16130777,2.6,2.3,3.87,1.62,0.13,1403.36,6801.319824
118,1.2503,1.247569,-0.011532689,0.001642299,-0.00569,41.42593598,1.279330164,1.232740836,-49.44109444,2.6,2.3,3.87,1.62,0.13,1403.36,6801.319824
119,1.25566,1.249476,-0.010436347,0.004286971,0.00407,47.57194051,1.277317125,1.233037208,-4.100202949,2.6,2.3,3.87,1.62,0.13,1403.36,6801.319824
120,1.26316,1.252144,-0.008860167,0.005972954,0.01491,54.92513303,1.275837301,1.233506365,48.51162564,2.6,2.3,3.87,1.62,0.16,1397.91,6761.189941
121,1.26381,1.254197,-0.007472445,0.000514582,0.01351,55.52579472,1.273806271,1.234459395,83.72319915,2.4,2.3,3.82,1.34,0.16,1405.82,6761.189941
122,1.2576,1.254964,-0.006795427,-0.004913713,0.00194,48.6445722,1.269975164,1.236680836,97.50916433,2.4,2.3,3.82,1.34,0.15,1402.31,6710.77002
123,1.26846,1.257293,-0.005321234,0.008635496,0.0053,58.61122089,1.268520089,1.237548244,140.4681376,2.4,2.3,3.82,1.34,0.15,1391.57,6694.439941
124,1.27068,1.25855,-0.003928505,0.001750154,0.00687,60.35862036,1.270290652,1.236683681,162.7540893,2.4,2.3,3.82,1.34,0.16,1369.1,6561.470215
125,1.25396,1.258347,-0.004126356,-0.013158309,-0.00364,44.60088374,1.27064643,1.23670157,55.37896867,2.4,2.3,3.82,1.34,0.16,1369.1,6561.470215
126,1.25669,1.258857,-0.004016565,0.002177103,-0.01177,47.1060932,1.270756873,1.23676946,18.20253068,2.4,2.3,3.82,1.34,0.16,1369.1,6561.470215
127,1.2503,1.259062,-0.004394517,-0.005084786,-0.02038,42.14902963,1.270492334,1.236509999,-23.90211314,2.4,2.3,3.82,1.34,0.16,1369.58,6569.47998
128,1.2492,1.258952,-0.004728303,-0.000879789,-0.00476,41.31740047,1.270469074,1.236290926,-43.99323181,2.4,2.3,3.82,1.34,0.16,1363.72,6444.740234
129,1.24688,1.258074,-0.005121003,-0.001857189,-0.00981,39.49141381,1.270082495,1.237309172,-63.43418085,2.4,2.3,3.82,1.34,0.15,1354.58,6475.310059
130,1.2443,1.256188,-0.005576128,-0.002069165,-0.006,37.44654444,1.269228902,1.238978765,-89.01335477,2.4,2.3,3.82,1.34,0.15,1357.99,6518
131,1.26627,1.256434,-0.004116568,0.017656514,0.01707,58.01573761,1.268744487,1.241513846,51.47182831,2.4,2.3,3.82,1.34,0.15,1353.39,6579.930176
132,1.25748,1.256422,-0.003627323,-0.006941648,0.0106,50.61668733,1.269046417,1.24263725,57.3003179,2.4,2.3,3.82,1.34,0.15,1353.39,6579.930176
133,1.26067,1.255643,-0.002948201,0.00253682,0.01637,53.0320961,1.26911044,1.243869894,40.34178485,2.4,2.3,3.82,1.34,0.15,1353.39,6579.930176
134,1.25261,1.253836,-0.003025491,-0.006393426,-0.01366,46.62928066,1.269124635,1.243972032,-22.94451068,2.4,2.3,3.82,1.34,0.16,1338.35,6451.970215
